new_index,Rating History
2019-10-18,2431.0
2019-10-19,2431.0
2019-10-20,2431.0
2019-10-21,2431.0
2019-10-22,2431.0
2019-10-23,2431.0
2019-10-24,2431.0
2019-10-25,2431.0
2019-10-26,2431.0
2019-10-27,2431.0
2019-10-28,2431.0
2019-10-29,2431.0
2019-10-30,2431.0
2019-10-31,2431.0
2019-11-01,2431.0
2019-11-02,2431.0
2019-11-03,2431.0
2019-11-04,2431.0
2019-11-05,2431.0
2019-11-06,2431.0
2019-11-07,2431.0
2019-11-08,2431.0
2019-11-09,2431.0
2019-11-10,2431.0
2019-11-11,2431.0
2019-11-12,2431.0
2019-11-13,2431.0
2019-11-14,2431.0
2019-11-15,2431.0
2019-11-16,2431.0
2019-11-17,2431.0
2019-11-18,2431.0
2019-11-19,2431.0
2019-11-20,2431.0
2019-11-21,2431.0
2019-11-22,2431.0
2019-11-23,2431.0
2019-11-24,2431.0
2019-11-25,2431.0
2019-11-26,2431.0
2019-11-27,2431.0
2019-11-28,2431.0
2019-11-29,2431.0
2019-11-30,2431.0
2019-12-01,2431.0
2019-12-02,2431.0
2019-12-03,2431.0
2019-12-04,2431.0
2019-12-05,2431.0
2019-12-06,2431.0
2019-12-07,2431.0
2019-12-08,2431.0
2019-12-09,2431.0
2019-12-10,2431.0
2019-12-11,2431.0
2019-12-12,2431.0
2019-12-13,2431.0
2019-12-14,2431.0
2019-12-15,2431.0
2019-12-16,2431.0
2019-12-17,2431.0
2019-12-18,2431.0
2019-12-19,2431.0
2019-12-20,2431.0
2019-12-21,2431.0
2019-12-22,2431.0
2019-12-23,2431.0
2019-12-24,2431.0
2019-12-25,2431.0
2019-12-26,2431.0
2019-12-27,2431.0
2019-12-28,2431.0
2019-12-29,2431.0
2019-12-30,2431.0
2019-12-31,2431.0
2020-01-01,2431.0
2020-01-02,2431.0
2020-01-03,2431.0
2020-01-04,2431.0
2020-01-05,2431.0
2020-01-06,2431.0
2020-01-07,2431.0
2020-01-08,2431.0
2020-01-09,2431.0
2020-01-10,2431.0
2020-01-11,2431.0
2020-01-12,2431.0
2020-01-13,2431.0
2020-01-14,2431.0
2020-01-15,2431.0
2020-01-16,2431.0
2020-01-17,2431.0
2020-01-18,2431.0
2020-01-19,2431.0
2020-01-20,2431.0
2020-01-21,2431.0
2020-01-22,2431.0
2020-01-23,2431.0
2020-01-24,2431.0
2020-01-25,2431.0
2020-01-26,2431.0
2020-01-27,2431.0
2020-01-28,2431.0
2020-01-29,2431.0
2020-01-30,2431.0
2020-01-31,2431.0
2020-02-01,2431.0
2020-02-02,2431.0
2020-02-03,2431.0
2020-02-04,2431.0
2020-02-05,2431.0
2020-02-06,2431.0
2020-02-07,2431.0
2020-02-08,2431.0
2020-02-09,2431.0
2020-02-10,2431.0
2020-02-11,2431.0
2020-02-12,2431.0
2020-02-13,2431.0
2020-02-14,2431.0
2020-02-15,2431.0
2020-02-16,2431.0
2020-02-17,2431.0
2020-02-18,2431.0
2020-02-19,2431.0
2020-02-20,2431.0
